PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36771580","Impact of Crop Sequence and Fertilization on Potato Yield in a Long-Term Study","Blecharczyk A, Kowalczewski PŁ, Sawinska Z, Rybacki P, Radzikowska-Kujawska D.","Plants (Basel). 2023 Jan 21;12(3):495. doi: 10.3390/plants12030495.","Blecharczyk A","Plants (Basel)","2023","2023/02/11","PMC9921471","","10.3390/plants12030495"
"36820165","Winter crop rotation intensification to increase rice yield, soil carbon, and microbial diversity","Zhou Q, Zhang P, Wang Z, Wang L, Wang S, Yang W, Yang B, Huang G.","Heliyon. 2023 Jan 10;9(1):e12903. doi: 10.1016/j.heliyon.2023.e12903. eCollection 2023 Jan.","Zhou Q","Heliyon","2023","2023/02/23","PMC9938412","","10.1016/j.heliyon.2023.e12903"
"38172570","Diversifying crop rotation increases food production, reduces net greenhouse gas emissions and improves soil health","Yang X, Xiong J, Du T, Ju X, Gan Y, Li S, Xia L, Shen Y, Pacenka S, Steenhuis TS, Siddique KHM, Kang S, Butterbach-Bahl K.","Nat Commun. 2024 Jan 3;15(1):198. doi: 10.1038/s41467-023-44464-9.","Yang X","Nat Commun","2024","2024/01/03","PMC10764956","","10.1038/s41467-023-44464-9"
"39083550","Effects of dry bio-slurry and nitrogen fertilizer on potato and wheat yields under rotation cropping system","Addis Z, Amare T, Kerebih B, Abewa A, Feyisa T, Awoke A, Tenagne A.","PLoS One. 2024 Jul 31;19(7):e0306625. doi: 10.1371/journal.pone.0306625. eCollection 2024.","Addis Z","PLoS One","2024","2024/07/31","PMC11290689","","10.1371/journal.pone.0306625"
"33735673","Environmental consequences of wheat-based crop rotation in potato farming systems in galicia, Spain","Câmara-Salim I, Almeida-García F, Feijoo G, Moreira MT, González-García S.","J Environ Manage. 2021 Jun 1;287:112351. doi: 10.1016/j.jenvman.2021.112351. Epub 2021 Mar 16.","Câmara-Salim I","J Environ Manage","2021","2021/03/18","","","10.1016/j.jenvman.2021.112351"
"35346385","Soil microbial communities following 20 years of fertilization and crop rotation practices in the Czech Republic","Kracmarova M, Uhlik O, Strejcek M, Szakova J, Cerny J, Balik J, Tlustos P, Kohout P, Demnerova K, Stiborova H.","Environ Microbiome. 2022 Mar 28;17(1):13. doi: 10.1186/s40793-022-00406-4.","Kracmarova M","Environ Microbiome","2022","2022/03/29","PMC8962459","","10.1186/s40793-022-00406-4"
"36247636","Effects of different rotation cropping systems on potato yield, rhizosphere microbial community and soil biochemical properties","Qin J, Bian C, Duan S, Wang W, Li G, Jin L.","Front Plant Sci. 2022 Sep 29;13:999730. doi: 10.3389/fpls.2022.999730. eCollection 2022.","Qin J","Front Plant Sci","2022","2022/10/17","PMC9559605","","10.3389/fpls.2022.999730"
"39227134","Complexities in the Implementation and Maintenance of Integrated Pest Management in Potato","Gao Y, Alyokhin A, Prager SM, Reitz S, Huseth A.","Annu Rev Entomol. 2024 Sep 3. doi: 10.1146/annurev-ento-120523-023156. Online ahead of print.","Gao Y","Annu Rev Entomol","2024","2024/09/03","","","10.1146/annurev-ento-120523-023156"
"39301502","Combining Masculinizing Resistance, Rotation, and Biocontrol to Achieve Durable Suppression of the Potato Pale Cyst Nematode: A Model","Tankam Chedjou I, Montarry J, Fournet S, Hamelin FM.","Evol Appl. 2024 Sep 19;17(9):e70012. doi: 10.1111/eva.70012. eCollection 2024 Sep.","Tankam Chedjou I","Evol Appl","2024","2024/09/20","PMC11411199","","10.1111/eva.70012"
"37623614","Pathogenicity, Mycotoxin Production, and Control of Potato Dry Rot Caused by Fusarium spp.: A Review","Xue H, Liu Q, Yang Z.","J Fungi (Basel). 2023 Aug 12;9(8):843. doi: 10.3390/jof9080843.","Xue H","J Fungi (Basel)","2023","2023/08/25","PMC10455408","","10.3390/jof9080843"
